PDF_Path	Reason	Raw_Tables	Identified_Tables
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\29.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\28.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\27.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\26.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\25.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\24.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\23.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\22.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\21.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\20.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\19.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\18.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\17.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\16.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\15.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\14.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\13.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\12.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\11.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\10.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\09.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\08.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\06.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\05.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\04.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\03.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\02.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\NOVEMBER\reports\01.11.23_NLDC_PSP.pdf	MISSING_TABLES	17	15
Output\NLDC_PSP_URLS\2023-24\MAY\reports\31.05.23_NLDC_PSP.pdf	MISSING_TABLES	14	12
Output\NLDC_PSP_URLS\2023-24\MAY\reports\31.05.23_NLDC_PSP.pdf	COUNT_CHANGE	14	12
