Date,Table Name,Metric,Region,Value,Bhutan (MU),Nepal (MU),Bangladesh (MU),Godda (Bangladesh) (MU),Bhutan Peak (MW),Nepal Peak (MW),Bangladesh Peak (MW),Godda (Bangladesh) Peak (MW),Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU),State,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU),Type,Country,PPA,Bilateral,DAM IEX,DAM PXIL,DAM HPX,RTM IEX,RTM PXIL,RTM HPX,Total,TIME,FREQUENCY (Hz),DEMAND MET (MW),NUCLEAR (MW),WIND (MW),SOLAR (MW),HYDRO (MW),GAS (MW),THERMAL (MW),OTHERS (MW),NET DEMAND MET (MW),TOTAL GENERATION (MW),"NET TRANSNATIONAL EXCHANGE (MW) (+ve) Import, (-ve) Export"
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:30,49.79,195532.0,6052.0,4426.0,159.0,18281.0,1984.0,166242.0,2595.0,190947.0,199739.0,-1437.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:45,49.94,200120.0,6104.0,4224.0,433.0,22275.0,1990.0,166813.0,2610.0,195463.0,204449.0,-1353.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00,49.99,203278.0,6092.0,4066.0,1297.0,23947.0,2000.0,167241.0,2649.0,197915.0,207292.0,-1053.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:15,49.99,205316.0,6103.0,4056.0,3260.0,23947.0,2014.0,167055.0,2663.0,198000.0,209098.0,-960.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:30,50.04,206748.0,6090.0,3979.0,6678.0,23655.0,1966.0,165452.0,2728.0,196091.0,210548.0,-991.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:45,50.09,209009.0,6091.0,4144.0,11511.0,21990.0,1963.0,163779.0,2812.0,193354.0,212290.0,-998.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,50.19,210014.0,6060.0,4005.0,17283.0,19681.0,1962.0,161609.0,2774.0,188726.0,213374.0,-972.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15,50.04,213898.0,6072.0,3902.0,23389.0,17708.0,1916.0,161577.0,2809.0,186607.0,217373.0,-1345.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30,50.04,215915.0,6092.0,3589.0,29392.0,15750.0,1903.0,160029.0,2843.0,182934.0,219598.0,-1435.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:45,49.99,217708.0,6078.0,3162.0,34933.0,14481.0,1901.0,157981.0,2837.0,179613.0,221373.0,-1472.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,49.99,218859.0,6080.0,2937.0,39997.0,12820.0,1890.0,156012.0,2872.0,175925.0,222608.0,-1494.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:15,49.74,221964.0,6085.0,2447.0,44299.0,12117.0,1878.0,155853.0,2885.0,175218.0,225564.0,-1525.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:30,49.89,223929.0,6053.0,2045.0,48253.0,11348.0,1891.0,155176.0,2864.0,173631.0,227630.0,-1615.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:45,50.04,225898.0,6062.0,1832.0,51802.0,10614.0,1946.0,154463.0,2850.0,172264.0,229569.0,-1669.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00,50.04,225476.0,6040.0,1727.0,54910.0,9448.0,1956.0,151604.0,2835.0,168839.0,228520.0,-1683.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:15,49.99,225439.0,6044.0,1665.0,58018.0,8296.0,1900.0,150278.0,2857.0,165756.0,229058.0,-1862.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30,49.99,224559.0,6064.0,1603.0,60293.0,8131.0,1880.0,147531.0,2873.0,162663.0,228375.0,-1966.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:45,50.04,224689.0,6037.0,1461.0,62033.0,8144.0,1874.0,147047.0,2803.0,161195.0,229399.0,-2134.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00,50.04,223292.0,6049.0,1473.0,63303.0,8330.0,1894.0,143973.0,2806.0,158516.0,227828.0,-2083.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:15,49.99,221698.0,6028.0,1519.0,64466.0,7404.0,1873.0,142470.0,2790.0,155713.0,226550.0,-2144.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30,50.04,220828.0,6023.0,1623.0,64968.0,7174.0,1873.0,140994.0,2790.0,154237.0,225445.0,-2143.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:45,49.99,219179.0,6029.0,1674.0,65271.0,7185.0,1878.0,139067.0,2784.0,152234.0,223888.0,-2115.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:00,50.04,217778.0,6022.0,1654.0,65346.0,7513.0,1877.0,136810.0,2828.0,150778.0,222050.0,-2092.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:15,49.99,216517.0,6012.0,1653.0,65584.0,7449.0,1870.0,135371.0,2805.0,149280.0,220744.0,-2097.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:30,49.99,214906.0,5998.0,1625.0,65592.0,7358.0,1881.0,134083.0,2812.0,147689.0,219349.0,-2139.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:45,49.94,214533.0,6004.0,1703.0,65637.0,7142.0,1781.0,133656.0,2815.0,147193.0,218738.0,-2131.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:00,50.04,211903.0,6019.0,1720.0,65456.0,6826.0,1767.0,132167.0,2865.0,144727.0,216820.0,-2160.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:15,50.04,208519.0,6012.0,1798.0,65299.0,6181.0,1793.0,129977.0,2828.0,141422.0,213888.0,-2140.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,50.04,206794.0,6003.0,1868.0,64803.0,6058.0,1762.0,130024.0,2800.0,140123.0,213318.0,-2159.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:45,49.99,205068.0,5979.0,1893.0,64775.0,6058.0,1781.0,128594.0,2761.0,138400.0,211841.0,-2184.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:00,50.04,205754.0,5998.0,1959.0,64455.0,6506.0,1718.0,129744.0,2766.0,139340.0,213146.0,-2205.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:15,49.94,206070.0,5984.0,2051.0,63751.0,6293.0,1791.0,128802.0,2748.0,140268.0,211420.0,-2186.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:30,49.94,207023.0,5983.0,2142.0,62979.0,6546.0,1796.0,129154.0,2729.0,141902.0,211329.0,-2148.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:45,49.94,207624.0,5992.0,2146.0,61895.0,6921.0,1779.0,130032.0,2703.0,143583.0,211468.0,-2161.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,49.89,210506.0,5990.0,2561.0,58671.0,7174.0,1870.0,134944.0,2679.0,149274.0,213889.0,-2181.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:15,49.94,210218.0,5993.0,2604.0,54260.0,7301.0,1911.0,138257.0,2661.0,153354.0,212987.0,-2171.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:30,49.94,211835.0,5997.0,2680.0,54061.0,7864.0,1893.0,141620.0,2664.0,155094.0,216779.0,-2136.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:45,49.99,212018.0,5992.0,2660.0,50902.0,8096.0,2021.0,144662.0,2635.0,158456.0,216968.0,-2159.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:00,50.09,213905.0,5999.0,2693.0,47796.0,8288.0,2032.0,148448.0,2636.0,163416.0,217892.0,-2141.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:15,49.99,212376.0,6004.0,2778.0,44552.0,8660.0,2067.0,150392.0,2642.0,165046.0,217095.0,-2045.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:30,50.04,212063.0,6006.0,2647.0,40795.0,9252.0,2085.0,153380.0,2560.0,168621.0,216725.0,-1995.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:45,49.99,212140.0,6248.0,2767.0,34702.0,10031.0,2148.0,159588.0,2574.0,174671.0,218058.0,-1847.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:00,49.99,210861.0,6248.0,2739.0,29310.0,11573.0,2156.0,161049.0,2561.0,178812.0,215636.0,-1421.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:15,50.04,208058.0,6257.0,2695.0,23948.0,13982.0,2188.0,160792.0,2505.0,181415.0,212367.0,-949.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:30,49.99,206757.0,6247.0,2858.0,18523.0,16246.0,2204.0,162631.0,2543.0,185376.0,211252.0,-1069.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:45,50.04,204375.0,6276.0,2912.0,12914.0,18279.0,2222.0,164005.0,2577.0,188549.0,209185.0,-1012.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:00,49.89,202442.0,6308.0,2937.0,8273.0,18918.0,2237.0,166023.0,2504.0,191232.0,207200.0,-1022.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:15,49.89,199630.0,6323.0,2995.0,4539.0,20144.0,2238.0,165636.0,2586.0,192096.0,204461.0,-964.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:30,49.89,201523.0,6332.0,3105.0,2161.0,21861.0,2253.0,167829.0,2571.0,196257.0,206112.0,-948.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:45,49.94,203883.0,6326.0,3252.0,1077.0,23033.0,2324.0,170123.0,2549.0,199554.0,208684.0,-937.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:00,49.89,205693.0,6330.0,3418.0,800.0,23922.0,2346.0,170751.0,2594.0,201475.0,210161.0,-943.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:15,49.99,205231.0,6327.0,3509.0,728.0,23470.0,2307.0,170854.0,2565.0,200994.0,209760.0,-929.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:30,49.99,203315.0,6309.0,3725.0,673.0,22228.0,2323.0,169904.0,2561.0,198917.0,207723.0,-928.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:45,50.04,201966.0,6319.0,3932.0,663.0,21064.0,2316.0,169700.0,2576.0,197371.0,206570.0,-915.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:00,50.09,198807.0,6305.0,4185.0,673.0,19440.0,2336.0,167636.0,2596.0,193949.0,203171.0,-914.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:15,50.04,195605.0,6292.0,4424.0,617.0,16543.0,2371.0,167293.0,2605.0,190564.0,200145.0,-1013.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:30,50.04,193387.0,6298.0,4519.0,586.0,14739.0,2316.0,167032.0,2576.0,188282.0,198066.0,-1034.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:45,49.99,191320.0,6290.0,4498.0,519.0,13218.0,2301.0,166553.0,2596.0,186303.0,195975.0,-1032.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:00,50.09,188836.0,6297.0,4505.0,518.0,12053.0,2298.0,165169.0,2550.0,183813.0,193390.0,-1088.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:15,50.04,187226.0,6279.0,4542.0,518.0,10822.0,2289.0,165326.0,2576.0,182166.0,192352.0,-1480.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:30,50.04,185917.0,6270.0,4631.0,514.0,10377.0,2249.0,164381.0,2530.0,180772.0,190952.0,-1730.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:45,49.99,184963.0,6274.0,4717.0,513.0,10046.0,2154.0,164009.0,2553.0,179733.0,190266.0,-1722.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:00,50.04,182780.0,6241.0,4609.0,473.0,9467.0,2114.0,162760.0,2567.0,177698.0,188231.0,-1699.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:15,49.99,184722.0,6251.0,4647.0,471.0,9535.0,2035.0,164485.0,2629.0,179604.0,190053.0,-1707.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:30,49.99,184631.0,6255.0,4751.0,477.0,9576.0,1960.0,164278.0,2548.0,179403.0,189845.0,-1707.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:45,49.99,183051.0,6244.0,4785.0,478.0,9110.0,1954.0,163396.0,2606.0,177788.0,188573.0,-1726.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:00,49.99,181442.0,6246.0,4601.0,475.0,8816.0,1947.0,162114.0,2561.0,176366.0,186760.0,-1717.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:15,49.99,179945.0,6253.0,4409.0,474.0,8371.0,1953.0,161437.0,2598.0,175062.0,185495.0,-1732.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:30,49.99,179117.0,6246.0,4255.0,475.0,8273.0,1938.0,160788.0,2564.0,174387.0,184539.0,-1728.0
3/6/2025,Block-wise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23:45,50.04,177998.0,6241.0,4277.0,474.0,7947.0,1977.0,159926.0,2564.0,173247.0,183406.0,-1660.0
