Date,Table Name,Metric,Region,Value,Bhutan (MU),Nepal (MU),Bangladesh (MU),Godda (Bangladesh) (MU),Bhutan Peak (MW),Nepal Peak (MW),Bangladesh Peak (MW),Godda (Bangladesh) Peak (MW),Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU),State,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU),Type,Country,PPA,Bilateral,DAM IEX,DAM PXIL,DAM HPX,RTM IEX,RTM PXIL,RTM HPX,Total
12/4/2023,Regional Summary,Total,WR,1594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Coal,SR,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Lignite,SR,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro,SR,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Nuclear,SR,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Gas, Naptha & Diesel",SR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",SR,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Total,SR,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Coal,ER,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Lignite,ER,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Hydro,ER,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,Nuclear,ER,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"Gas, Naptha & Diesel",ER,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",ER,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
