DateID,CountryID,TotalEnergyExchanged,PeakExchange
246,5,-15.7,-760.0
247,1,-5.0,-311.0
247,2,0.1,87.0
247,3,-13.3,-591.0
247,5,-17.1,-763.0
248,1,-6.8,-388.0
248,2,0.1,122.0
248,3,-13.1,-572.0
248,5,-16.8,-767.0
249,1,-5.8,-311.0
249,2,-0.7,-45.2
249,3,-16.7,-1048.0
249,5,-16.3,-772.2
250,1,-5.3,-428.9
250,2,-2.2,-230.3
250,3,-22.0,-1045.0
250,5,-15.6,-768.0
251,1,-5.6,-352.0
251,2,-2.0,-206.6
251,3,-17.4,-988.0
251,5,-11.7,-675.0
252,1,-4.8,-401.7
252,2,0.3,80.9
252,3,-20.6,-1038.0
252,5,-13.0,-764.0
253,1,-5.5,-424.0
253,2,-1.3,-115.2
253,3,-22.3,-1036.0
253,5,-13.5,-1048.0
254,1,-5.1,-520.0
254,2,-1.7,-225.0
254,3,-21.4,-1027.0
