DateID,LineID,CountryID,StateID,RegionID,MaxLoading,MinLoading,AvgLoading,EnergyExchanged
641,73,2.0,,4.0,-232.0,16.0,-93.0,-2.23
641,74,3.0,,4.0,-929.0,-559.0,-750.0,-18.01
641,75,3.0,,4.0,-767.0,-400.0,-534.0,-12.81
641,76,3.0,,5.0,-70.0,0.0,-52.0,-1.24
642,66,1.0,,4.0,243.0,-144.0,82.0,1.98
642,67,1.0,,4.0,-243.0,61.0,-110.0,-2.63
642,68,1.0,,4.0,-256.0,-159.0,-209.0,-5.03
642,69,1.0,,5.0,-28.0,0.0,-18.0,-0.44
642,70,1.0,,5.0,-9.0,8.0,0.0,-0.01
642,71,2.0,,1.0,-67.0,0.0,-36.0,-0.86
642,72,2.0,,4.0,-167.0,-68.0,-74.0,-1.78
642,73,2.0,,4.0,-220.0,21.0,-84.0,-2.01
642,74,3.0,,4.0,-938.0,-554.0,-778.0,-18.67
642,75,3.0,,4.0,-765.0,-403.0,-568.0,-13.64
642,76,3.0,,5.0,-61.0,0.0,-49.0,-1.18
643,66,1.0,,4.0,213.0,2.0,94.0,2.26
643,67,1.0,,4.0,-214.0,94.0,-59.0,-1.43
643,68,1.0,,4.0,-242.0,-141.0,-195.0,-4.68
643,69,1.0,,5.0,-29.0,-14.0,-18.0,-0.44
643,70,1.0,,5.0,-10.0,0.0,0.0,-0.01
643,71,2.0,,1.0,-65.0,0.0,-42.0,-1.02
643,72,2.0,,4.0,-176.0,0.0,-73.0,-1.74
643,73,2.0,,4.0,-307.0,-6.0,-115.0,-2.77
643,74,3.0,,4.0,-939.0,-646.0,-818.0,-19.63
643,75,3.0,,4.0,-768.0,-410.0,-629.0,-15.09
643,76,3.0,,5.0,-67.0,0.0,-50.0,-1.2
644,66,1.0,,4.0,183.0,11.0,97.0,2.34
644,67,1.0,,4.0,-219.0,84.0,-67.0,-1.62
644,68,1.0,,4.0,-242.0,-139.0,-191.0,-4.59
644,69,1.0,,5.0,-25.0,0.0,-1.0,-0.03
644,70,1.0,,5.0,-50.0,10.0,-11.0,-0.26
644,71,2.0,,1.0,-68.0,0.0,-39.0,-0.94
644,72,2.0,,4.0,-197.0,-35.0,-80.0,-1.91
644,73,2.0,,4.0,-284.0,-2.0,-105.0,-2.53
644,74,3.0,,4.0,-939.0,-644.0,-812.0,-19.48
644,75,3.0,,4.0,-768.0,-408.0,-573.0,-13.74
644,76,3.0,,5.0,-64.0,0.0,-53.0,-1.26
645,66,1.0,,4.0,197.0,-30.0,69.0,1.67
