DateID,CountryID,MechanismID,ExchangeDirection,ExchangeValue
120,7,2,Import,1.87
120,7,3,Import,7.74
120,7,4,Import,0.0
120,7,5,Import,0.0
120,7,6,Import,0.0
120,7,7,Import,0.0
120,7,8,Import,0.0
120,1,1,NET,41.54
120,1,2,NET,1.87
120,1,3,NET,0.0
120,1,4,NET,0.0
120,1,5,NET,0.0
120,1,6,NET,0.0
120,1,7,NET,0.0
120,1,8,NET,0.0
120,2,1,NET,-0.07
120,2,2,NET,0.0
120,2,3,NET,7.74
120,2,4,NET,0.0
120,2,5,NET,0.0
120,2,6,NET,0.0
120,2,7,NET,0.0
120,2,8,NET,0.0
120,3,1,NET,-22.13
120,3,2,NET,0.0
120,3,3,NET,0.0
120,3,4,NET,0.0
120,3,5,NET,0.0
120,3,6,NET,0.0
120,3,7,NET,0.0
120,3,8,NET,0.0
120,4,1,NET,0.0
120,4,2,NET,0.0
120,4,3,NET,0.0
120,4,4,NET,0.0
120,4,5,NET,0.0
120,4,6,NET,0.0
120,4,7,NET,0.0
120,4,8,NET,0.0
120,8,1,NET,19.34
120,8,2,NET,1.87
120,8,3,NET,7.74
120,8,4,NET,0.0
120,8,5,NET,0.0
120,8,6,NET,0.0
120,8,7,NET,0.0
120,8,8,NET,0.0
121,1,1,Export,0.0
121,1,2,Export,0.0
121,1,3,Export,0.0
121,1,4,Export,0.0
121,1,5,Export,0.0
121,1,6,Export,0.0
121,1,7,Export,0.0
121,1,8,Export,0.0
121,2,1,Export,0.0
121,2,2,Export,0.0
121,2,3,Export,0.0
121,2,4,Export,0.0
121,2,5,Export,0.0
121,2,6,Export,0.0
121,2,7,Export,0.0
121,2,8,Export,0.0
121,3,1,Export,21.69
121,3,2,Export,0.0
121,3,3,Export,0.0
121,3,4,Export,0.0
121,3,5,Export,0.0
121,3,6,Export,0.0
121,3,7,Export,0.0
121,3,8,Export,0.0
121,4,1,Export,0.0
121,4,2,Export,0.0
121,4,3,Export,0.0
121,4,4,Export,0.0
121,4,5,Export,0.0
121,4,6,Export,0.0
121,4,7,Export,0.0
121,4,8,Export,0.0
121,6,1,Export,21.69
121,6,2,Export,0.0
121,6,3,Export,0.0
121,6,4,Export,0.0
121,6,5,Export,0.0
121,6,6,Export,0.0
121,6,7,Export,0.0
121,6,8,Export,0.0
121,1,1,Import,37.38
121,1,2,Import,1.89
121,1,3,Import,0.0
121,1,4,Import,0.0
121,1,5,Import,0.0
121,1,6,Import,0.0
121,1,7,Import,0.0
121,1,8,Import,0.0
121,2,1,Import,0.0
121,2,2,Import,0.0
121,2,3,Import,7.2
121,2,4,Import,0.0
121,2,5,Import,0.0
121,2,6,Import,0.0
121,2,7,Import,0.0
121,2,8,Import,0.0
121,3,1,Import,0.0
121,3,2,Import,0.0
121,3,3,Import,0.0
121,3,4,Import,0.0
121,3,5,Import,0.0
121,3,6,Import,0.0
121,3,7,Import,0.0
121,3,8,Import,0.0
121,4,1,Import,0.0
121,4,2,Import,0.0
121,4,3,Import,0.0
121,4,4,Import,0.0
121,4,5,Import,0.0
121,4,6,Import,0.0
121,4,7,Import,0.0
121,4,8,Import,0.0
121,7,1,Import,37.38
121,7,2,Import,1.89
121,7,3,Import,7.2
121,7,4,Import,0.0
121,7,5,Import,0.0
121,7,6,Import,0.0
121,7,7,Import,0.0
121,7,8,Import,0.0
121,1,1,NET,37.38
121,1,2,NET,1.89
121,1,3,NET,0.0
121,1,4,NET,0.0
121,1,5,NET,0.0
121,1,6,NET,0.0
121,1,7,NET,0.0
121,1,8,NET,0.0
121,2,1,NET,0.0
121,2,2,NET,0.0
121,2,3,NET,7.2
121,2,4,NET,0.0
121,2,5,NET,0.0
121,2,6,NET,0.0
121,2,7,NET,0.0
121,2,8,NET,0.0
121,3,1,NET,-21.69
121,3,2,NET,0.0
121,3,3,NET,0.0
121,3,4,NET,0.0
121,3,5,NET,0.0
121,3,6,NET,0.0
121,3,7,NET,0.0
121,3,8,NET,0.0
121,4,1,NET,0.0
121,4,2,NET,0.0
121,4,3,NET,0.0
121,4,4,NET,0.0
121,4,5,NET,0.0
121,4,6,NET,0.0
121,4,7,NET,0.0
121,4,8,NET,0.0
121,8,1,NET,15.69
121,8,2,NET,1.89
121,8,3,NET,7.2
121,8,4,NET,0.0
121,8,5,NET,0.0
121,8,6,NET,0.0
121,8,7,NET,0.0
121,8,8,NET,0.0
122,1,1,Export,0.0
122,1,2,Export,0.0
122,1,3,Export,0.0
122,1,4,Export,0.0
122,1,5,Export,0.0
122,1,6,Export,0.0
122,1,7,Export,0.0
122,1,8,Export,0.0
122,2,1,Export,0.0
122,2,2,Export,0.0
122,2,3,Export,0.1
122,2,4,Export,0.0
122,2,5,Export,0.0
122,2,6,Export,0.0
122,2,7,Export,0.0
122,2,8,Export,0.0
122,3,1,Export,21.73
122,3,2,Export,0.0
122,3,3,Export,0.0
122,3,4,Export,0.0
122,3,5,Export,0.0
122,3,6,Export,0.0
122,3,7,Export,0.0
122,3,8,Export,0.0
122,4,1,Export,0.0
122,4,2,Export,0.0
122,4,3,Export,0.0
122,4,4,Export,0.0
122,4,5,Export,0.0
122,4,6,Export,0.0
122,4,7,Export,0.0
122,4,8,Export,0.0
122,6,1,Export,21.73
122,6,2,Export,0.0
122,6,3,Export,0.1
122,6,4,Export,0.0
122,6,5,Export,0.0
122,6,6,Export,0.0
122,6,7,Export,0.0
122,6,8,Export,0.0
122,1,1,Import,41.5
122,1,2,Import,1.65
122,1,3,Import,0.0
122,1,4,Import,0.0
122,1,5,Import,0.0
122,1,6,Import,0.0
122,1,7,Import,0.0
122,1,8,Import,0.0
122,2,1,Import,0.0
122,2,2,Import,0.0
122,2,3,Import,7.03
122,2,4,Import,0.0
122,2,5,Import,0.0
122,2,6,Import,0.0
122,2,7,Import,0.0
122,2,8,Import,0.0
122,3,1,Import,0.0
122,3,2,Import,0.0
122,3,3,Import,0.0
122,3,4,Import,0.0
122,3,5,Import,0.0
122,3,6,Import,0.0
122,3,7,Import,0.0
122,3,8,Import,0.0
122,4,1,Import,0.0
122,4,2,Import,0.0
122,4,3,Import,0.0
122,4,4,Import,0.0
122,4,5,Import,0.0
122,4,6,Import,0.0
122,4,7,Import,0.0
122,4,8,Import,0.0
122,7,1,Import,41.5
122,7,2,Import,1.65
122,7,3,Import,7.03
122,7,4,Import,0.0
122,7,5,Import,0.0
122,7,6,Import,0.0
122,7,7,Import,0.0
122,7,8,Import,0.0
122,1,1,NET,41.5
122,1,2,NET,1.65
122,1,3,NET,0.0
122,1,4,NET,0.0
122,1,5,NET,0.0
122,1,6,NET,0.0
122,1,7,NET,0.0
122,1,8,NET,0.0
122,2,1,NET,0.0
122,2,2,NET,0.0
122,2,3,NET,6.93
122,2,4,NET,0.0
122,2,5,NET,0.0
122,2,6,NET,0.0
122,2,7,NET,0.0
122,2,8,NET,0.0
122,3,1,NET,-21.73
122,3,2,NET,0.0
122,3,3,NET,0.0
122,3,4,NET,0.0
122,3,5,NET,0.0
122,3,6,NET,0.0
122,3,7,NET,0.0
