DateID,RegionID,GenerationSourceID,GenerationAmount
7,2,11,106.0
7,2,10,51.98
7,2,1,1384.0
7,2,2,21.0
7,2,9,33.0
7,2,6,14.0
7,2,14,160.0
8,4,8,41.0
8,4,10,6.07
8,4,1,704.0
8,4,2,0.0
8,4,9,0.0
8,4,6,0.0
8,4,14,7.0
8,5,8,10.0
8,5,10,1.23
8,5,1,17.0
8,5,2,0.0
8,5,9,0.0
8,5,6,29.0
8,5,14,1.0
8,1,8,113.0
8,1,11,30.0
8,1,10,138.98
8,1,1,685.0
8,1,2,25.0
8,1,9,30.0
8,1,6,7.0
8,1,14,189.0
8,3,8,70.0
8,3,11,49.0
8,3,10,121.59
8,3,1,667.0
8,3,2,65.0
8,3,9,63.0
8,3,6,6.0
8,3,14,201.0
8,6,8,266.0
8,6,11,143.0
8,6,10,323.0
8,6,1,3530.0
8,6,2,110.0
8,6,9,127.0
8,6,6,59.0
8,6,14,519.0
8,2,8,31.0
8,2,11,63.0
8,2,10,55.28
8,2,1,1457.0
8,2,2,20.0
8,2,9,34.0
8,2,6,17.0
8,2,14,120.0
9,4,8,39.0
9,4,10,3.22
9,4,1,687.0
9,4,2,0.0
9,4,9,0.0
9,4,6,0.0
9,4,14,4.0
9,5,8,9.0
9,5,10,1.12
9,5,1,15.0
9,5,2,0.0
9,5,9,0.0
9,5,6,30.0
9,5,14,1.0
9,1,8,117.0
9,1,11,20.0
9,1,10,141.36
9,1,1,658.0
9,1,2,27.0
9,1,9,30.0
9,1,6,7.0
9,1,14,181.0
9,3,8,65.0
9,3,11,47.0
9,3,10,123.26
9,3,1,644.0
9,3,2,62.0
9,3,9,70.0
9,3,6,6.0
9,3,14,198.0
9,6,8,259.0
9,6,11,121.0
9,6,10,332.0
9,6,1,3458.0
9,6,2,108.0
9,6,9,134.0
9,6,6,54.0
9,6,14,503.0
9,2,8,28.0
9,2,11,55.0
9,2,10,62.94
9,2,1,1454.0
9,2,2,18.0
9,2,9,34.0
9,2,6,11.0
9,2,14,119.0
10,4,8,40.0
10,4,10,3.21
10,4,1,739.0
10,4,2,0.0
10,4,9,0.0
10,4,6,0.0
10,4,14,4.0
10,5,8,9.0
10,5,10,1.24
10,5,1,16.0
10,5,2,0.0
10,5,9,0.0
10,5,6,30.0
10,5,14,1.0
10,1,8,119.0
10,1,11,22.0
10,1,10,127.23
10,1,1,704.0
10,1,2,26.0
10,1,9,30.0
10,1,6,7.0
10,1,14,170.0
10,3,8,71.0
10,3,11,55.0
10,3,10,132.54
10,3,1,681.0
10,3,2,65.0
10,3,9,70.0
10,3,6,6.0
10,3,14,218.0
10,6,8,279.0
10,6,11,125.0
10,6,10,329.0
10,6,1,3646.0
10,6,2,108.0
10,6,9,135.0
10,6,6,61.0
10,6,14,507.0
10,2,8,40.0
10,2,11,49.0
10,2,10,64.71
10,2,1,1506.0
10,2,2,17.0
10,2,9,35.0
10,2,6,17.0
10,2,14,115.0
11,4,8,39.0
11,4,10,2.9
11,4,1,760.0
11,4,2,0.0
11,4,9,0.0
11,4,6,0.0
11,4,14,3.0
11,5,8,8.0
11,5,10,1.2
11,5,1,16.0
11,5,2,0.0
11,5,9,0.0
11,5,6,30.0
11,5,14,1.0
11,1,8,125.0
11,1,11,17.0
11,1,10,100.13
11,1,1,752.0
11,1,2,25.0
11,1,9,30.0
11,1,6,9.0
11,1,14,136.0
11,3,8,80.0
11,3,11,41.0
11,3,10,133.58
11,3,1,717.0
11,3,2,64.0
11,3,9,70.0
11,3,6,6.0
11,3,14,207.0
11,6,8,316.0
11,6,11,115.0
11,6,10,302.0
11,6,1,3755.0
11,6,2,107.0
11,6,9,135.0
11,6,6,64.0
11,6,14,470.0
11,2,8,65.0
11,2,11,57.0
11,2,10,64.47
11,2,1,1509.0
11,2,2,17.0
11,2,9,35.0
11,2,6,18.0
11,2,14,123.0
12,4,8,35.0
12,4,10,2.87
12,4,1,756.0
12,4,2,0.0
12,4,9,0.0
12,4,6,0.0
12,4,14,3.0
12,5,8,9.0
12,5,10,1.12
12,5,1,16.0
12,5,2,0.0
12,5,9,0.0
12,5,6,32.0
12,5,14,1.0
12,1,8,124.0
12,1,11,16.0
12,1,10,140.77
12,1,1,785.0
12,1,2,24.0
12,1,9,30.0
12,1,6,11.0
12,1,14,177.0
12,3,8,83.0
12,3,11,37.0
12,3,10,131.74
12,3,1,727.0
12,3,2,64.0
12,3,9,69.0
12,3,6,6.0
12,3,14,201.0
12,6,8,300.0
12,6,11,122.0
12,6,10,343.0
12,6,1,3823.0
12,6,2,104.0
12,6,9,135.0
12,6,6,68.0
12,6,14,520.0
12,2,8,49.0
12,2,11,69.0
12,2,10,66.85
12,2,1,1539.0
12,2,2,16.0
12,2,9,35.0
