DateID,LineID,Inter_Region,MaxImport,MaxExport,ImportEnergy,ExportEnergy,NetImportEnergy
2,7,ER-NR,0.0,176.0,,,
2,8,ER-NR,294.0,663.0,,,
2,9,ER-NR,38.0,565.0,,,
2,10,ER-NR,75.0,597.0,,,
2,12,ER-NR,73.0,479.0,,,
2,11,ER-NR,176.0,358.0,,,
2,14,ER-NR,0.0,143.0,,,
2,15,ER-NR,0.0,0.0,,,
2,16,ER-NR,25.0,0.0,,,
2,17,ER-NR,0.0,35.0,,,
2,18,ER-NR,0.0,0.0,,,
2,19,ER-WR,1403.0,0.0,,,
2,20,ER-WR,0.0,1477.0,,,
2,21,ER-WR,0.0,815.0,,,
2,22,ER-WR,0.0,521.0,,,
2,23,ER-WR,0.0,431.0,,,
2,24,ER-WR,0.0,128.0,,,
2,25,ER-WR,76.0,24.0,,,
2,26,ER-SR,0.0,549.0,,,
2,27,ER-SR,0.0,2467.0,,,
2,28,ER-SR,0.0,2967.0,,,
2,29,ER-SR,412.0,736.0,,,
2,30,ER-SR,0.0,0.0,,,
2,31,ER-NER,229.0,86.0,,,
2,32,ER-NER,367.0,0.0,,,
2,33,ER-NER,75.0,0.0,,,
2,35,WR-NR,0.0,1498.0,,,
2,36,WR-NR,445.0,0.0,,,
2,37,WR-NR,0.0,1500.0,,,
2,38,WR-NR,408.0,1566.0,,,
2,39,WR-NR,1254.0,1436.0,,,
2,40,WR-NR,322.0,546.0,,,
2,41,WR-NR,804.0,16.0,,,
2,42,WR-NR,0.0,860.0,,,
2,43,WR-NR,2187.0,0.0,,,
2,44,WR-NR,386.0,1417.0,,,
2,45,WR-NR,399.0,0.0,,,
2,46,WR-NR,852.0,0.0,,,
2,47,WR-NR,963.0,0.0,,,
2,48,WR-NR,936.0,168.0,,,
2,50,WR-NR,0.0,0.0,,,
2,51,WR-NR,0.0,30.0,,,
2,52,WR-NR,125.0,0.0,,,
2,53,WR-NR,107.0,0.0,,,
2,54,WR-NR,0.0,0.0,,,
2,55,WR-NR,0.0,0.0,,,
2,56,WR-SR,0.0,1016.0,,,
2,57,WR-SR,0.0,6018.0,,,
2,58,WR-SR,902.0,1657.0,,,
2,59,WR-SR,0.0,3168.0,,,
2,61,WR-SR,1124.0,0.0,,,
2,62,WR-SR,0.0,0.0,,,
2,63,WR-SR,0.0,0.0,,,
2,64,WR-SR,0.0,118.0,,,
3,1,ER-NR,0.0,0.0,,,
3,2,ER-NR,1.0,297.0,,,
3,3,ER-NR,124.0,956.0,,,
3,4,ER-NR,9.0,472.0,,,
3,5,ER-NR,0.0,508.0,,,
3,6,ER-NR,0.0,212.0,,,
3,7,ER-NR,21.0,197.0,,,
3,8,ER-NR,249.0,652.0,,,
3,9,ER-NR,0.0,519.0,,,
3,10,ER-NR,20.0,551.0,,,
3,12,ER-NR,34.0,477.0,,,
3,11,ER-NR,107.0,377.0,,,
3,14,ER-NR,0.0,160.0,,,
3,15,ER-NR,0.0,0.0,,,
3,16,ER-NR,25.0,0.0,,,
3,17,ER-NR,0.0,40.0,,,
3,18,ER-NR,0.0,0.0,,,
3,19,ER-WR,1161.0,0.0,,,
3,20,ER-WR,82.0,1247.0,,,
3,21,ER-WR,0.0,999.0,,,
3,22,ER-WR,0.0,569.0,,,
3,23,ER-WR,16.0,344.0,,,
3,24,ER-WR,0.0,140.0,,,
3,25,ER-WR,80.0,35.0,,,
3,26,ER-SR,0.0,549.0,,,
3,27,ER-SR,0.0,2455.0,,,
3,28,ER-SR,0.0,3081.0,,,
3,29,ER-SR,399.0,719.0,,,
3,30,ER-SR,0.0,0.0,,,
3,31,ER-NER,269.0,85.0,,,
3,32,ER-NER,457.0,8.0,,,
3,33,ER-NER,91.0,0.0,,,
3,35,WR-NR,0.0,995.0,,,
3,36,WR-NR,445.0,0.0,,,
3,37,WR-NR,0.0,1499.0,,,
3,38,WR-NR,123.0,2024.0,,,
3,39,WR-NR,497.0,1584.0,,,
3,40,WR-NR,126.0,703.0,,,
3,41,WR-NR,861.0,0.0,,,
3,42,WR-NR,0.0,879.0,,,
3,43,WR-NR,2052.0,0.0,,,
3,44,WR-NR,174.0,1838.0,,,
3,45,WR-NR,396.0,0.0,,,
3,46,WR-NR,823.0,0.0,,,
3,47,WR-NR,963.0,0.0,,,
3,48,WR-NR,666.0,304.0,,,
3,50,WR-NR,0.0,0.0,,,
3,51,WR-NR,0.0,30.0,,,
3,52,WR-NR,113.0,0.0,,,
3,53,WR-NR,96.0,0.0,,,
3,54,WR-NR,0.0,0.0,,,
3,55,WR-NR,0.0,0.0,,,
3,56,WR-SR,0.0,1019.0,,,
3,57,WR-SR,0.0,6032.0,,,
3,58,WR-SR,364.0,2040.0,,,
3,59,WR-SR,0.0,3472.0,,,
3,61,WR-SR,1170.0,0.0,,,
3,62,WR-SR,0.0,0.0,,,
3,63,WR-SR,0.0,0.0,,,
3,64,WR-SR,0.0,119.0,,,
4,1,ER-NR,0.0,0.0,,,
4,2,ER-NR,0.0,297.0,,,
4,3,ER-NR,123.0,750.0,,,
4,4,ER-NR,32.0,425.0,,,
4,5,ER-NR,0.0,563.0,,,
4,6,ER-NR,0.0,209.0,,,
4,7,ER-NR,0.0,195.0,,,
4,8,ER-NR,291.0,609.0,,,
4,9,ER-NR,0.0,490.0,,,
4,10,ER-NR,3.0,519.0,,,
4,12,ER-NR,60.0,460.0,,,
4,11,ER-NR,114.0,312.0,,,
4,14,ER-NR,0.0,179.0,,,
4,15,ER-NR,0.0,0.0,,,
4,16,ER-NR,25.0,0.0,,,
4,17,ER-NR,0.0,31.0,,,
4,18,ER-NR,0.0,0.0,,,
4,19,ER-WR,1244.0,327.0,,,
4,20,ER-WR,157.0,937.0,,,
4,21,ER-WR,0.0,958.0,,,
4,22,ER-WR,0.0,569.0,,,
4,23,ER-WR,0.0,262.0,,,
4,24,ER-WR,0.0,132.0,,,
4,25,ER-WR,54.0,38.0,,,
4,26,ER-SR,0.0,549.0,,,
4,27,ER-SR,0.0,1988.0,,,
4,28,ER-SR,0.0,2953.0,,,
